Retailers,Url,Type,Title,Colours,Monthly,Upfront,Data,Calls,Text,Contract,Roaming,Gifts
ee,iphone_12_black.png,0,IPhone 12 64GB,"#385D88,#EDFBEC,#E8E1E1,#49484D,#F54E47",53,49,20,0,0,24,,
ee,phone/iphone-12-pro.png,0,IPhone 12 Pro 128GB,"#435F6A,#FFF1DF,#4F4D49,#F1F2ED",55,229,100,0,0,24,,
ee,phone/apple-iphone-se.png,0,iPhone SE 64GB,"#00000,#ffffff,#ff0000",32,49,50,0,0,24,,
ee,phone/samsungs10.png,0,Samsung S10,"#00000,#0000ff,#C0C0C0,#2ECC71 ",41,0,75,0,0,24,,
ee,phone/galaxy-a71.png,0,Samsung A71,"#00000,#C0C0C0",32,0,50,0,0,24,,
ee,phone/iphonexr.png,0,iPhone XR 64GB,"#00000,#0000ff,#ff7f50,#F4D03F ,#ff0000,#ffffff",43,49,20,0,0,24,,
ee,phone/galaxy-a51.png,0,Samsung A51,"#00000,#ffffff",26,0,15,0,0,24,,
ee,phone/iphone11.png,0,iPhone 11 64GB,"#00000,#ffffff,#ff0000,#F4D03F ,#8548D8 ,#2ECC71 ",47,29,100,0,0,24,,
ee,phone/samsung-a20.png,0,Samsung Galaxy A20e,"#00000,#ffffff,#0000ff,#ff7f50",19,0,1,0,0,24,,
ee,phone/iphone-7.png,0,iPhone 7 32GB,"#00000,#C0C0C0,#FFD700,#b7756e",26,0,5,0,0,24,,
ee,phone/1iphone-11-pro-max.png,0,iPhone 11 Pro Max 64GB,"#808080 ,#C0C0C0,#FFD700,#485F43 ",55,292,100,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20,"#DCABBA,#97ADBA,#5F6367",50,0,0,0,0,24,,
ee,phone/samsung-galaxy-s10e.png,0,Samsugn Galaxy S10e,"#00000,#ffffff",41,0,75,0,0,24,,
ee,phone/huaweip30.png,0,Huawei P30 Pro,"#00000,#76D7C4 ,#D6EAF8 ",41,0,75,0,0,24,,
ee,phone/Apple_iPhone_11_Pro.png,0,IPhone 11 Pro 64GB,"#5D5C5A,#E9E9E1,#535D55,#F1D2B9",55,199,100,0,0,24,,
ee,phone/samsung-galaxy-s20-plus.png,0,Samsung Galaxy S20 Plus (5G),"#161513,#67676A,#F0C8D0,#C9E6F8",55,0,20,0,0,24,,
ee,phone/samsung-galaxy-note20-ultra.png,0,Samsung Note20 Ultra 256GB (5G),"#C59A92,#AACABB,#85868A",74,0,0,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20 128GB (5G),"#DCABBA,#97ADBA,#5F6367",54,0,0,0,0,24,,
ee,iphone_12_black.png,0,IPhone 12 64GB,"#385D88,#EDFBEC,#E8E1E1,#49484D,#F54E47",54,99,0,0,0,24,,
ee,phone/iphone-12-pro.png,0,IPhone 12 Pro 128GB,"#435F6A,#FFF1DF,#4F4D49,#F1F2ED",66,129,0,0,0,24,,
ee,phone/apple-iphone-se.png,0,iPhone SE 64GB,"#00000,#ffffff,#ff0000",33,0,50,0,0,24,,
ee,phone/samsungs10.png,0,Samsung S10,"#00000,#0000ff,#C0C0C0,#2ECC71 ",44,0,100,0,0,24,,
ee,phone/galaxy-a71.png,0,Samsung A71,"#00000,#C0C0C0",38,0,50,0,0,24,,
ee,phone/iphonexr.png,0,iPhone XR 64GB,"#00000,#0000ff,#ff7f50,#F4D03F ,#ff0000,#ffffff",47,0,75,0,0,24,,
ee,phone/galaxy-a51.png,0,Samsung A51,"#00000,#ffffff",29,0,4,0,0,24,,
ee,phone/iphone11.png,0,iPhone 11 64GB,"#00000,#ffffff,#ff0000,#F4D03F ,#8548D8 ,#2ECC71 ",50,29,0,0,0,24,,
ee,phone/samsung-a20.png,0,Samsung Galaxy A20e,"#00000,#ffffff,#0000ff,#ff7f50",23,0,5,0,0,24,,
ee,phone/iphone-7.png,0,iPhone 7 32GB,"#00000,#C0C0C0,#FFD700,#b7756e",29,0,25,0,0,24,,
ee,phone/1iphone-11-pro-max.png,0,iPhone 11 Pro Max 64GB,"#808080 ,#C0C0C0,#FFD700,#485F43 ",74,32,0,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20,"#DCABBA,#97ADBA,#5F6367",50,0,100,0,0,24,,
ee,phone/samsung-galaxy-s10e.png,0,Samsugn Galaxy S10e,"#00000,#ffffff",41,0,50,0,0,24,,
ee,phone/huaweip30.png,0,Huawei P30 Pro,"#00000,#76D7C4 ,#D6EAF8 ",41,0,50,0,0,24,,
ee,phone/Apple_iPhone_11_Pro.png,0,IPhone 11 Pro 64GB,"#5D5C5A,#E9E9E1,#535D55,#F1D2B9",64,84,0,0,0,24,,
ee,phone/samsung-galaxy-s20-plus.png,0,Samsung Galaxy S20 Plus (5G),"#161513,#67676A,#F0C8D0,#C9E6F8",52,97,0,0,0,24,,
ee,phone/samsung-galaxy-note20-ultra.png,0,Samsung Note20 Ultra 256GB (5G),"#C59A92,#AACABB,#85868A",70,84,0,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20 128GB (5G),"#DCABBA,#97ADBA,#5F6367",55,0,100,0,0,24,,
ee,iphone_12_black.png,0,IPhone 12 64GB,"#385D88,#EDFBEC,#E8E1E1,#49484D,#F54E47",62,29,0,0,0,24,,
ee,phone/iphone-12-pro.png,0,IPhone 12 Pro 128GB,"#435F6A,#FFF1DF,#4F4D49,#F1F2ED",70,89,0,0,0,24,,
ee,phone/apple-iphone-se.png,0,iPhone SE 64GB,"#00000,#ffffff,#ff0000",44,0,100,0,0,24,,
ee,phone/samsungs10.png,0,Samsung S10,"#00000,#0000ff,#C0C0C0,#2ECC71 ",47,0,100,0,0,24,,
ee,phone/galaxy-a71.png,0,Samsung A71,"#00000,#C0C0C0",44,0,100,0,0,24,,
ee,phone/iphonexr.png,0,iPhone XR 64GB,"#00000,#0000ff,#ff7f50,#F4D03F ,#ff0000,#ffffff",50,0,0,0,0,24,,
ee,phone/galaxy-a51.png,0,Samsung A51,"#00000,#ffffff",33,0,10,0,0,24,,
ee,phone/iphone11.png,0,iPhone 11 64GB,"#00000,#ffffff,#ff0000,#F4D03F ,#8548D8 ,#2ECC71 ",54,0,0,0,0,24,,
ee,phone/samsung-a20.png,0,Samsung Galaxy A20e,"#00000,#ffffff,#0000ff,#ff7f50",29,0,25,0,0,24,,
ee,phone/iphone-7.png,0,iPhone 7 32GB,"#00000,#C0C0C0,#FFD700,#b7756e",32,0,25,0,0,24,,
ee,phone/1iphone-11-pro-max.png,0,iPhone 11 Pro Max 64GB,"#808080 ,#C0C0C0,#FFD700,#485F43 ",76,0,0,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20,"#DCABBA,#97ADBA,#5F6367",54,0,0,0,0,24,,
ee,phone/samsung-galaxy-s10e.png,0,Samsugn Galaxy S10e,"#00000,#ffffff",44,29,100,0,0,24,,
ee,phone/huaweip30.png,0,Huawei P30 Pro,"#00000,#76D7C4 ,#D6EAF8 ",47,0,75,0,0,24,,
ee,phone/Apple_iPhone_11_Pro.png,0,IPhone 11 Pro 64GB,"#5D5C5A,#E9E9E1,#535D55,#F1D2B9",70,0,0,0,0,24,,
ee,phone/samsung-galaxy-s20-plus.png,0,Samsung Galaxy S20 Plus (5G),"#161513,#67676A,#F0C8D0,#C9E6F8",54,99,0,0,0,24,,
ee,phone/samsung-galaxy-note20-ultra.png,0,Samsung Note20 Ultra 256GB (5G),"#C59A92,#AACABB,#85868A",55,291,100,0,0,24,,
ee,phone/samsung-galaxy-s20.png,0,Samsung Galaxy S20 128GB (5G),"#DCABBA,#97ADBA,#5F6367",54,49,0,0,0,24,,
