Retailers,Url,Type,Title,Colours,Monthly,Upfront,Data,Calls,Text,Contract,Roaming,Gifts
o2,compare/sim-o2.png,1,500MB SIM,,12,,0.5,0,0,12,No,6 Months Free Disney +
o2,compare/sim-o2.png,1,1GB SIM,,14,,1,0,0,12,No,6 Months Free Disney +
o2,compare/sim-o2.png,1,3GB SIM,,17,,3,0,0,12,No,6 Months Free Disney +
o2,compare/sim-o2.png,1,20GB SIM,,20,,20,0,0,12,No,6 Months Free Disney +
o2,compare/sim-o2.png,1,25GB SIM,,28,,25,0,0,12,Yes,6 Months Free Disney +
o2,compare/sim-o2.png,1,100GB SIM,,30,,100,0,0,12,Yes,6 Months Free Disney + Special Offer
o2,compare/sim-o2.png,1,Unlimited SIM,,35,,0,0,0,12,Yes,6 Months Free Disney +
o2,compare/sim-o2.png,1,Promotional  Unlimited SIM,,15,,0,0,0,18,Yes,6 Months Free Disney + Special offer 3 months half price
o2,phone/samsung-a20.png,0,Samsung Galaxy A20e,"#002354,#000000,#ffffff",23,0,5,0,0,12,,
o2,phone/galaxy-a71.png,0,Samsung Galaxy A71,"#d2d2d2,#b2e1e2,#323742",32,0,25,0,0,12,,
o2,phone/apple-iphone-se.png,0,iphone SE 2020,"#ca243a,#000000,#ffffff",33,0,10,0,0,12,,
o2,phone/huaweiy7.png,0,Huawei Y7,"#cc0000,#000000,#01907d",21,0,4,0,0,12,,
